pdb_id,cid
5TPT,689043
1BQO,689043
3FW3,689043
4QFC,689043
5EJK,689043
2A3K,689043
7LAF,689043
6FE2,689043
5X2L,689043
1N8S,689043
5MSB,689043
8D43,689043
2CAB,689043
6HOY,689043
7OXQ,689043
1TZN,689043
3D3L,689043
2J8T,689043
6I7I,689043
7B7U,689043
3BT0,689043
1QIB,689043
4PXX,689043
5AKV,689043
2YQ8,689043
2IWY,689043
3LPO,689043
3DA2,689043
5NN5,689043
3DWW,689043
1IOX,689043
6Q9T,689043
6Q20,689043
4XUE,689043
2CS5,689043
1PQ3,689043
3LXE,689043
8C6I,689043
2FW4,689043
4JGD,689043
1UYM,689043
3G3E,689043
2CLT,689043
4CDE,689043
1L6M,689043
4I5X,689043
3LII,689043
4Q0L,689043
4E2I,689043
2WGP,689043
1HNY,16145850
2LEO,16145850
6UAI,16145850
1FZV,16145850
5LIH,16145850
2XV7,16145850
1SMD,16145850
3LPO,16145850
2CS5,3084331
7LAF,3084331
6B19,3084331
3PE6,3084331
1W6K,3084331
2J8T,3084331
2WGP,3084331
1JY1,3084331
4I5X,3084331
3OP3,3084331
7CFM,3084331
7LEU,3084331
5IF4,3084331
3DWW,3084331
4RWA,97214
3PM0,97214
5JVS,97214
6C5Z,97214
5N2R,97214
3U79,97214
6Q20,97214
2HW6,97214
2J8T,97214
2WAJ,97214
7LAF,97214
7LEU,97214
6C0V,97214
8EF5,97214
1A8J,97214
4I8V,97214
5EJK,97214
5X02,97214
3LII,97214
2ARQ,97214
7QK9,97214
4JGD,97214
1BHS,97214
2QMZ,97214
5WWW,97214
5W2I,97214
1SCF,97214
5UKE,97214
3T9C,97214
5UEN,97214
1XV8,97214
1YOW,97214
2HI4,97214
8BHT,97214
4BYI,97214
2ZNP,97214
3TJM,97214
4F7N,97214
5TPT,97214
1H7U,97214
6HBU,97214
2R9P,97214
3B7T,97214
2IIM,97214
5JCO,97214
2WID,97214
7YXC,97214
5YZ5,97214
5VAR,97214
1XQZ,97214
3TEG,97214
4CDE,97214
6B19,97214
5C7L,97214
1Z9E,97214
2DMO,97214
7LO7,97214
2ACS,97214
5FDO,97214
3QCB,97214
1HNY,45359583
2LEO,45359583
6UAI,45359583
1FZV,45359583
5LIH,45359583
2XV7,45359583
1SMD,45359583
3LPO,45359583
1HNY,10010849
2LEO,10010849
6UAI,10010849
1FZV,10010849
5LIH,10010849
2XV7,10010849
1SMD,10010849
3LPO,10010849
1CSK,5281764
2NYY,5281764
5EJK,5281764
2IIM,5281764
6XE8,5281764
1Z3K,5281764
4JGD,5281764
7LAF,596375
2F25,596375
2ZNP,596375
1ZS0,596375
1BHG,596375
3DWW,596375
5BXJ,596375
6BO8,596375
5AKV,596375
6Q6Q,102333899
3DWW,102333899
1JY1,102333899
3SP7,11629959
7VRK,2519
1OJ9,2519
5UEN,2519
1XMU,2519
5N2R,2519
8HDO,2519
1ZKL,2519
2OUU,2519
7R8B,2519
1TAZ,2519
7DV5,2519
2UZ9,2519
2WID,2519
1ROR,2519
1Z8D,2519
5MZP,2519
7CR2,2519
3TVX,2519
6HBU,2519
5V6A,2519
1GUV,2519
1HKI,2519
3T8M,2519
7QK9,2519
2CAB,2519
2GLQ,2519
6J8E,2519
3LII,2519
7PED,2519
2QYM,2519
4G7Y,2519
5UDY,2519
4NPV,2519
4NTJ,2519
5VEU,2519
3KGV,2519
1FC0,2519
7SIC,2519
1SOJ,2519
5YZ0,2519
3D59,2519
3SP7,71351181
7MPA,10364
3DWW,10364
5AKV,10364
6BO8,10364
1ZS0,10364
5TOA,10364
3LII,10364
4J24,10364
2WID,10364
7E2Z,34458
3LII,34458
5WIV,34458
5HK2,34458
7LBG,34458
1OJ9,34458
4IAQ,34458
6B19,34458
7VOE,34458
2A3R,34458
6EEY,34458
7B6W,34458
1G3N,34458
2ACS,34458
7WKZ,34458
2D0T,34458
4PZS,34458
6C5Z,34458
5DSG,34458
1JY1,34458
2AR9,34458
1Z6T,34458
6BO8,6552009
3OP3,6552009
3BZU,6552009
2Q5E,101681
6K3J,101681
5HK2,101681
4XXO,101681
6BO8,101680
3OP3,101680
3BZU,101680
3EQM,11988279
5A5I,11988279
6P2B,11988279
5SVK,11988279
5HCV,11988279
