pdb_id,cid,target,species,affinity,affinity_type,tanimoto
5TPT,689043,Amyloid-beta precursor protein,Homo sapiens (Human),216000,EC50,1.00000
1BQO,689043,Matrix metalloproteinase-9,Homo sapiens (Human),10.0,IC50,1.00000
3FW3,689043,Carbonic anhydrase 6,Homo sapiens (Human),7330,Ki,1.00000
4QFC,689043,D-aspartate oxidase,Homo sapiens (Human),>10000000,IC50,0.89535
5TPT,689043,Amyloid-beta precursor protein,Homo sapiens (Human),15600,IC50,1.00000
5EJK,689043,Integrase,Human immunodeficiency virus 1,2800,IC50,1.00000
2A3K,689043,Tyrosine-protein phosphatase non-receptor type 7,Homo sapiens (Human),>100000,IC50,1.00000
7LAF,689043,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens (Human),8500,IC50,1.00000
6FE2,689043,Carbonic anhydrase 9,Homo sapiens (Human),7870,Ki,1.00000
5X2L,689043,Serine racemase,Homo sapiens (Human),8386000,IC50,0.89535
5TPT,689043,Amyloid-beta precursor protein,Homo sapiens (Human),>100000,IC50,0.89535
5EJK,689043,Integrase,Human immunodeficiency virus 1,>100000,IC50,0.90526
5TPT,689043,Amyloid-beta precursor protein,Homo sapiens (Human),67700,EC50,0.90526
1N8S,689043,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),>1000000,IC50,1.00000
5MSB,689043,Carbonic anhydrase 12,Homo sapiens (Human),9060,Ki,1.00000
8D43,689043,Alpha-glucosidase MAL62,Saccharomyces cerevisiae,1270574105209,IC50,0.89535
2CAB,689043,Carbonic anhydrase 2,Mycobacterium tuberculosis,5.9e+2,Ki,1.00000
6HOY,689043,Histone deacetylase 1/2/3/4/5/6/7/8/9/11/Polyamine deacetylase HDAC10,Homo sapiens (Human),2540000,IC50,1.00000
7OXQ,689043,Gag-Pol polyprotein,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2),>50000,IC50,1.00000
1TZN,689043,Anthrax toxin receptor 2,Homo sapiens,>300000,IC50,1.00000
2CAB,689043,Carbonic anhydrase 2,Homo sapiens (Human),1610,Ki,1.00000
3D3L,689043,Lipoxygenase,Solanum tuberosum (potato),3000,IC50,1.00000
2J8T,689043,Aldo-keto reductase family 1 member B1,Homo sapiens (Human),32000,IC50,1.00000
6I7I,689043,BiP isoform A,Glycine max,600000,IC50,1.00000
7B7U,689043,DNA-directed RNA polymerase subunit beta,Escherichia coli,23775.9,IC50,1.00000
3BT0,689043,Transthyretin,Homo sapiens (Human),67000,EC50,0.90526
1QIB,689043,72 kDa type IV collagenase,Homo sapiens (Human),24,IC50,1.00000
7LAF,689043,Seed linoleate 13S-lipoxygenase-1,Glycine max (soybean),3000,IC50,1.00000
4PXX,689043,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens (Human),9080,Ki,1.00000
5AKV,689043,Polyphenol oxidase 2,Agaricus bisporus (Common mushroom),>350000,IC50,1.00000
2YQ8,689043,Prolyl 4-hydroxylase subunit alpha-1,Gallus gallus (Chicken),18000,Ki,1.00000
2IWY,689043,3-oxoacyl-ACP synthase,Pseudomonas aeruginosa,51000,IC50,0.90526
3LPO,689043,"Sucrase-isomaltase, intestinal",Rattus norvegicus (Rat),87450,IC50,1.00000
3DA2,689043,Carbonic anhydrase 13,Mus musculus (mouse),10900,Ki,1.00000
7LAF,689043,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,43000,IC50,1.00000
5NN5,689043,Lysosomal alpha-glucosidase,Rattus norvegicus,34690,IC50,1.00000
3DWW,689043,Prostaglandin G/H synthase 2,Homo sapiens (Human),129700,IC50,1.00000
3BT0,689043,Transthyretin,Homo sapiens (Human),97000,EC50,1.00000
2CAB,689043,Beta-carbonic anhydrase 1,Mycobacterium tuberculosis,5.92e+3,Ki,1.00000
6HOY,689043,Histone deacetylase 1/2/3/4/5/6/7/8/9/11/Polyamine deacetylase HDAC10,Homo sapiens (Human),10840,Ki,1.00000
1IOX,689043,Epidermal growth factor receptor,Homo sapiens (Human),400000,Ki,1.00000
2CAB,689043,Carbonic anhydrase 1,Homo sapiens (Human),2380,Ki,1.00000
6Q9T,689043,Carbonic anhydrase 14,Homo sapiens (Human),8710,Ki,1.00000
6Q20,689043,Neuraminidase,Influenza A virus (strain A/Wilson-Smith/1933 H1N1) (Influenza A virus(strain A/WS/1933 H1N1)),>100000,IC50,1.00000
4XUE,689043,Catechol O-methyltransferase,Rattus norvegicus (Rat),93,IC50,1.00000
2CS5,689043,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),3060,IC50,1.00000
1PQ3,689043,Arginase-1,Bos taurus,131000,IC50,1.00000
